filename,width,height,class,xmin,ymin,xmax,ymax
1679_jpg.rf.4faf58b0414b92332da809bad185e5de.jpg,640,640,green_traffic_light,372,380,410,448
1679_jpg.rf.4faf58b0414b92332da809bad185e5de.jpg,640,640,green_traffic_light,337,491,349,510
SPEED_LIM-632-_png_jpg.rf.59dc0d5d3bb77307688ce2172c16fdcc.jpg,640,640,Speed Limit 30,0,0,640,640
00040_00001_00013_png_jpg.rf.20891b9d868240340e9304dd95791895.jpg,640,640,Round-About,15,44,640,626
YSign70_jpg.rf.224b254bdfcdaebb2ec2812912fe916d.jpg,640,640,yield sign,123,73,288,410
262_png_jpg.rf.71861bfb1df79f045675a49c682c6148.jpg,640,640,Speed Bump Ahead,102,112,539,580
5524_jpg.rf.730d345d139728ee088e5bdbf7c3c09f.jpg,640,640,green_traffic_light,492,40,535,126
5524_jpg.rf.730d345d139728ee088e5bdbf7c3c09f.jpg,640,640,green_traffic_light,148,85,178,152
5524_jpg.rf.730d345d139728ee088e5bdbf7c3c09f.jpg,640,640,green_traffic_light,231,335,241,355
5524_jpg.rf.730d345d139728ee088e5bdbf7c3c09f.jpg,640,640,green_traffic_light,290,340,301,360
3703_jpg.rf.e24ed8b31e7bbea8b437f3ae7e53524b.jpg,640,640,green_traffic_light,79,15,108,74
YSign51_jpg.rf.497babdbd8f79dca1ff5fc4be61839a5.jpg,640,640,yield sign,0,31,319,356
larangan-belok-kiri-42-_jpg.rf.7f4e9cfe504b58543403f48b5a2f13f7.jpg,640,640,do_not_turn_l,198,159,490,483
SPEED_LIM-13-_jpg.rf.3589277ac2ed52a16c063f85448c90cd.jpg,640,640,Speed Limit -70-,230,181,481,317
lampu-merah-4-_jpg.rf.532a0d94781f8f89f08346f6bd8a0893.jpg,640,640,red_traffic_light,346,95,482,399
SPEED_LIM-177-_png_jpg.rf.7acb2c9f5ae3f36752ce34b98e134b48.jpg,640,640,Speed Limit -60-,125,147,488,493
001776-_jpg.rf.afa1e8a98497f2af1e23789330a8b328.jpg,640,640,No Entry,75,0,571,609
medium_2_sign_2_png_jpg.rf.582109aebf05c8d6829f6938239afe3c.jpg,640,640,red_traffic_light,365,72,381,127
medium_2_sign_2_png_jpg.rf.582109aebf05c8d6829f6938239afe3c.jpg,640,640,red_traffic_light,150,59,165,109
medium_2_sign_2_png_jpg.rf.582109aebf05c8d6829f6938239afe3c.jpg,640,640,red_traffic_light,350,101,365,143
00018_00008_00010_png_jpg.rf.87b07ebb183630e8fb03542b974fc018.jpg,640,640,Hazard,21,35,619,640
SPEED_LIM-679-_png_jpg.rf.30ffa1d54c0aec91b7e61ff7a72d60c1.jpg,640,640,Speed Limit -60-,25,39,640,640
SPEED_LIM-769-_png_jpg.rf.e61c6a6c7da4a6b1fc74f57b4aea144a.jpg,640,640,Speed Limit -60-,0,182,640,623
00018_00011_00020_png_jpg.rf.5b120dadff1ba2d22c6f39fa48eeab19.jpg,640,640,Hazard,69,85,594,604
do-not-enter-signs-in-france-stock-photos_csp9453103-_jpg.rf.5703c8df989fb797ac4a31f8b212b5e0.jpg,640,640,No Entry,250,62,486,223
2705_jpg.rf.692fb308ed50fb7001be9375acd60f59.jpg,640,640,green_traffic_light,384,204,407,247
2705_jpg.rf.692fb308ed50fb7001be9375acd60f59.jpg,640,640,green_traffic_light,334,233,354,271
2705_jpg.rf.692fb308ed50fb7001be9375acd60f59.jpg,640,640,green_traffic_light,286,248,312,287
00018_00004_00005_png_jpg.rf.32c8a427e60b9abf33e27894f90a50de.jpg,640,640,Hazard,9,46,604,564
00018_00014_00005_png_jpg.rf.3a0cc9ca1081122d5ba1dba8bdf5a676.jpg,640,640,Hazard,17,99,589,575
larangan-belok-kiri-15-_jpg.rf.66764c718764836a8ed4ae51104d71fb.jpg,640,640,do_not_turn_l,224,175,436,424
stop_1323817816-avi_image12_png_jpg.rf.07d3255cc69f08a4c7718356e84d6355.jpg,640,640,Stop,390,320,429,363
263_png_jpg.rf.3493a17196149f1291f83b68b43bc2b8.jpg,640,640,yellow_traffic_light,322,214,385,292
